"Kenyamanan:pesan nya 2 stelan dtg baju satu celana 2
Kualitas:tidak amanah
Sepadan dengan Uang:kalo barang tidak ada mesti ada pembalikan uang donk.. ini harga sma tapi brang tidak sesuai👎

Gimna nya ini. Toko tidk amanah .. pesan 2 stelan yg dtg 1 stelan 1 clna 👎👎👎",1
"Sepadan dengan Uang:buruk

Pesen baju stelan Dateng nya baju nya doang 
Lupa di video kan sih 
Gak amanah bgt sih",1
"Saran Tampilan:lumayan
Kualitas:aman
Kenyamanan:nyaman sih

Maaf ka bajunya kok gk ada kancingnya? Tipis banget 🗿",1
"Sangat buruk toko ini, yang dipesen warna hitam sama putih, yg datng mlh army sama putih, malah bajunya sobekkk😡😵",1
"Saran Tampilan:tampilkan buruk, bahan tipis+jelek👎
Kenyamanan:bajunya gak serep keringat🙅
Styling:buruk🙅",1
"Sepadan dengan Uang:lumayan
Saran Tampilan:baik
Kualitas:baik TPI celana kurang bgus",2
GK bagus banget bajunya udah sobek kok masih dijual sih😰😨 nyesel banget aku beli di toko ini,1
"Kenyamanan:bawahan nya kebesaran nggak cocok
Sepadan dengan Uang:tdk
Kualitas:7/10",2
"Celananya kekecilan terus jaitannya nggak rapi,miss V terbentuk klo pake celananya",2
"Kenyamanan:pesen baju buat anak yg dtng mlah sagede gaban
Kualitas:lumayan,,,",2
"Saran Tampilan:baju nya jelek
Kualitas:celana ny sesuai hrga lh tpi bju ny kek sampah",1
"Saran Tampilan:biasa

Bahan kainx tipis(menerawang) dan bajux terlalu kecil",2
"Kenyamanan:Kurang
Pas untuk Acara:Ga ad

Bajunya terlalu pendek dan celananya tipis",1
"Kualitas:lumayan
Styling:sesuai harga sih
Kenyamanan:enak di pakai  sehari hari",1
Sepadan dengan Uang:ya mau gk mau nama nya murah GK kn SMA dgn yg harga nya yg sepdan. kain nya panas. tangan nya GK pas d ketika,2
kalau bajunya bagus tapi kalau kulot nya jelek tipiss dann besarr sekali,1
"Styling:not worth buying
Kenyamanan:ga nyaman ,bajunya kyk bahan payung",1
Kenyamanan:bahan bajunya tidak nyaman dan panas kalau di pake,2
Sngt bagus bajunya trmksh shoppy dn untuk kurirnya hti2 d jln,2
"Kenyamanan:lmyn
Saran Tampilan:bgs, cma tps bhnny
Pas untuk Acara:pas",1
"Saran Tampilan:jahitan nya gx sesuai,, celana dan baju nya pada robek",1
Kualitas:tipis kayak kain lap tapi lumayan la sm harganya,2
"Barang jelek 
Baju nya lagi kayak jas hujan
Celananya brantakan",1
"Kualitas:sesuai harga

Bajunya kecil gak muat nyesel belinya🙂",1
"Saran Tampilan:lumayan
Sepadan dengan Uang:sepadan
Kualitas:lumayan

Pesen putih di kirim hitam hadeeeehh gimna sih ga amanah",2
Gimana ni ka saya pesen 2 yg dtg 1.. saya bayar 2 loh ka..,1
yang dikirim bajunya beda sama yang datang kecewa bangett,1
Sangat kecewa bgt sih belanja disini saya pesan 2 yg dtg cuman 1 mana bayarnya dua lagi admin ny juga ribet,2
"ga sesuai sama yg saya pesan, katanya one set pas datang kok cuma celana? kecewa bgt si
jelas jelas saya pesan nya yg one set yg isi nya celana sama baju tapi yang dtg cuma celana",1
"Jgn kegoda sama murahnya 😅
Kualitas jelek banget 😁",1
"Saran Tampilan:jahitannya kurang rapi
Kualitas:standar sesuai sams harga
Styling:kurang puas

Lumayan kecewa sama bahannya, tapi gapapa lah sesuai harga juga bahannya",2
"Saran Tampilan:KK coba di cek kembali pesanan saya,saya pesan 4 pasang yg datang kok cuma satu pasang gimana ini KK padahal lebaran mau di pakai.saya gak mau tau ya KK tau nya uang saya kembali kasian sama anak saya dan teman 2 nya gak bisa pakai baju sama.saya ingin uang saya kembali ya KK.kalau tidak Ama toko ini akan saya viralkan",1
"Baju ank 10 Thun kok yg dtng baju emk"" gede bngt ,,GX sesuai bngt sih asal bngt jualan y",1
"Pas untuk Acara:cuaca dingin
Sepadan dengan Uang:iya
Kenyamanan:panas banget bahannya",2
"Sayaa kecewa berat

Saya beli duaaa di anter cumaa satuuu gimana dong ada yg bisa bantu",1
"Saya pesan 2 ehhh yang datang cuma satu pdhl kan byr nya 2 brng saya minta pertanggung jawaban nya, respon lama lagi kan org rugi jadi nya",1
Saran Tampilan:bagus sih tapi kenapa panjang pendekk bawah nya,1
"tokonya gk amanah barang yg dikirim tidak sesuai dengan pesanan
saya pesan setelan kemejanya gak dikirim",1
"Saran Tampilan:c
Kualitas:c

Kain bajunya keras banget,jahitan celananya gk rapi sama sekali",1
hati2 kalu beli di toko ini.ukuran di deskripsi gak sama dengan yang diterima,1
"jahitannya ga rapi, bahan nya jg jelek ga sesuai ekspetasi",2
"Maaf ya kak,aku gk tau kayak gimna barang nya,barangnya ngak sampai sma aku,aku tanya sma kekuarga juga gk ada yg nerima paketnya,jadi aku ngak tau gimna produk kknya🥰",1
"Kenyamanan:lumayan
Pas untuk Acara:cocok tpi baju nya bau min tpi enak kok di pake 😉
Saran Tampilan:menurut sya celana nya jgn terlalu longgar bawah nya",1
"Styling:b aja
Kualitas:kain nya tipis bgt
Kenyamanan:panas dipake",2
"Saran Tampilan:tak sesuai,baju kaku ,celana gak sesuai",2
"Kualitas:hareudanggggg
Sepadan dengan Uang:ya
Saran Tampilan:menarik

Baju nya bahanya payung / anti air . hareudang hareudang panas dan hareudanggg .",2
"celana nya lumayan si bisa di pake sehari hari, baju nya ada yang kotor, trus nerawang",2
"Sepadan dengan Uang:barang sesuai dengan hrga lah ya
Styling:gk terlalu suka bajunya, soalnya bagian bawah karet
Kenyamanan:lumayan lah",2
"sesuai sama difoto sih tp ga expect kain bajunya ternyta kyak kertas gtu dan kyaknya gampang luntur, pengirimannya jg agak lama",2
Pesan warna hitam sama army Dateng nya 1 warna aja gimana ini kk,1
"Pas untuk Acara:pake keseharian
Kualitas:tipis
Saran Tampilan:-

Tipis tapi cocok si dengan harga segitu",2
"Styling:?
Saran Tampilan:kurang 1
Sepadan dengan Uang:tidak

Mba ini mksdnya gimana ya tulisan nya setelan tp ko cuma ada celana nya doang baju nya gak ada",1
"Tidak sesuai pesanan 
Pesennya putih hitam, datengnya hitam hitam",1
"PS nyampe sih bagus,Kong PS d cuci bajunya jahitannya trlepas""
Pdhl Bru 1 kli cuci aplgu klw udh brkalii""
Llu celanany ad noda' llu susah banget kluar
Duhhh😠😓",1
"Kualitas:jahitan mleyot2, pas di lengan ikut kejahit jd g bisa dipakai",2
"Kenyamanan:kaya payungg huaaa😭🤣
Kualitas:ga bagus tpi bagus sih ah Gatau deh",2
"Tampilan:bagus tapi celananya sobek sedikit
Warna:bagus",1
"Sangat buruk, saya bayar 2 co 2 tapi yang di kirim 1, waktu live saya coba tanya, katanya suruh kirimkan video unboxing, waktu saya kirim video unboxing nya, tetapi tidak ada respon sama sekali.",1
"Tampilan:celana tidak sesuai foto  jahitan jelek

Untuk warna pas aja sesuai foto",2
"Warna:sesuai

Baju nya ke kekecilan, bahan nya kyak bahan payung",1
"Styling:setau saya kalo beli ini satu setel,eh pas paketnya Dateng TK bukak cuman baju ga ada celananya",1
"Tampilan:Bahan Nya panas malahan kaya jaket
Warna:warna nya si sesuai

kecewa banget si. Di kirain nya bahan nya bagus gatau nya malahan kaya jaket gtu bahan nya",1
"Bahan bagus tapi syg banget kurang amanah yang di pesan 2 psang yg datangnya 1 pasang ,sementara harga yg di bayar seharga 2 pasang kecewa banget si padahal disitu tertera 2 pcs tapi yg ad di dlamnya cuman 1",1
"Wearing Comfort:gak nyaman
Value for Money:harga murah
Suggested Look:tampilan sih oke

Buat kalian yang penasaran boleh dicoba tapi jangan nyesel, soalnya bahannya tuh kurang bagus gitu. Bahan bajunya kayak buat gorden. Terus celananya tipis banget. Pas nonton di live tuh yg di review keliatan bagus gitu. Pas udah CO kok gak sama kayak yang di review pas live?buat pelajaran aja ya jangan tergiur dengan harga yang murah. Buat sellernya lain mending jualan baju yang emang punya kualitas biar nggak ngecewain pelanggan.",1
"Saran Tampilan:baik
Pas untuk Acara:jalan2 aja

Bajunya bagus, cantik, keren dechh.. Maksih cuman pngirimn sangat lama lebih dari 10 hari",2
Tidak sesuai yang dipesan,2
"Sesuai harga,,agak tipis bajunya",1
