review,rating,sentimen
mantap sesuai pesan,5,positif
baju ga ngecewain,5,positif
baju nya bagus aku suka top markotopppp deh poko nya mantulll trimakasi lazada terimakasi bang kurir mudah lazada tambah sukes,5,positif
sesuai gambar bahan lumayan tebal cuman besar d badan ku makasih seller mas kurir makasih buat lazada jga jdi gampang belanja cod sukses teruss,5,positif
brng rim ksh lazada sellu is the best,5,positif
barang relpit tpi panjang,5,positif
bahan nya bagus cuman besar aja,5,positif
bagus baju,5,positif
bagus bangett baju dateng kemarin aku sukaa,5,positif
wawwww bguss bgtt sukak bgtt makasih lazada kk selerr nya yg ramah respon cpett,5,positif
bgus bhannya,5,positif
neng bgt bagusss mau order lagih,5,positif
barang yhh udah nympe bgus suka mksh lazada,5,positif
mf baru kasih ulas bahan bagus tar beli lgi,5,positif
baju nya bagus banget sangat pas warna nya sesuai banget sama pesan,5,positif
real pic bgusss bgd kurir ramah mkcihh,5,positif
barang bahan baguss sesuai pesan kurir ramah,5,positif
kurir ramah,5,positif
alhmdllh pesan sy udh sampi bahan bgs sesuai dgn gambar kurirx ramah mksh lazada smg sllu lncr,5,positif
baju bagus kakak nya ramah terimakasih lazada,4,positif
baju x bagus realpic,5,positif
sesuai,5,positif
bagus terima kasih,5,positif
alhamdulillah sesuai harga cpt kirim mksh lazada,4,positif
bagus realpick cuma kgedean tpi puas ko,4,positif
baju y gede bgtttt aq kira kyk toko belah tp nyata baju y bkn ukur l tp kyk ukur jumbo,3,netral
bagus bahan,5,positif
bgus sih cba warnya ngk sesuai dgn gmbrnya,5,positif
kurang bagus,2,negatif
alhamdulillah s sampe pesan,5,positif
gw sangat kecewa kurir kayak anjing gk sabar kyk anjing gw males belanja lazada,5,positif
baju bagus,5,positif
baju kegedeann bagus sih,5,positif
bagus sesuai dgn gambar,5,positif
ga sesuai pesan pesan y anha set tpi datang nya bukan gmn nch kecewa sekali,5,positif
barang bagus trima kasih lazada,5,positif
gak kecewa belanja tokok moga amanah yah,5,positif
baju nya suka cuma kirim yg lama,5,positif
gede banget baju malah potong baju barang nya oke harga segitu,5,positif
baju a real pict abang kurir a dah langgan makasih lazada,5,positif
baju nya bagus gede buat jd hrus kecilin dikit g ap lah barang udh,4,positif
bjunya bagus tp gede,5,positif
bagus makasih baju nya kirim nya lama,4,positif
barang mantap gede,5,positif
mantap baju by sesuai ingin,5,positif
sesuai pesan makas y ka,5,positif
barang udh nyampe bagus besar banget makasih lazada,5,positif
bagus realpict bhan tebal warna sesuai cuman size nya gede,5,positif
realpic bgt baju nya suka cuman celana nya gede bgt makasih moga sukses selalu,5,positif
alhamdulillah baju nya sesuai,5,positif
lumayan harga segitu bunda suka,5,positif
mantul bnget say,5,positif
barang bagus terimakasih,5,positif
bagusssss,5,positif
gede banget baju rombak deh but baju nya ku suka,5,positif
mf baru kasih ulas baju nya super mantaf bguss bngtt sya mau order lgi,5,positif
lah dpt bonus iner terima kasih,5,positif
kecewa,5,positif
barang sesuai pesan anak suka sekali,5,positif
real pick,5,positif
bagus banget kk mf gk smpt motoin kk krna udah lnhlgsung ambil sma customer kk,5,positif
trmakasih paket ny sdh smpe dn bgus dn mantap kurir ny lazada trmakasih,5,positif
bagus ka baju,5,positif
barang dah nyampe ceper jg cuma hari bahan panas tp lumayan celana kurang gede,5,positif
alhamdulillah kecewa barang bagus,5,positif
bagusss bngetttt mantap sukses trus buat toko,5,positif
paket alhamdullilah bgus celana besar bngt yaudah gpp,5,positif
barang bagus sesuai pesan kurir nya baik banget,5,positif
mksh lazada realpict,5,positif
paket realpict cocok harga,5,positif
makasih lazada barang bagus sesuai pesan proses cepat kurir ramah,5,positif
kurir ramah barang bagus sesuai pesan,5,positif
sya psen nya milo ko yg datang dusty tpi gpp lah bju nya bgus,5,positif
sesuai pesan n,5,positif
mantap,5,positif
paket dteng puas ukur nha pas,5,positif
bagus sesuai sama harga bahan,5,positif
baju bagus sekali,5,positif
realpict sy suka mkasih lazada,5,positif
bgs bgt sayang y aq gak bs unggah foto knp yah ngsh ulas gak bs ksh foto,5,positif
udah belanja yg x mantaapp ga kecewa,5,positif
kecewa bahan tipis,2,negatif
kecewa bahanx tipis sekali,2,negatif
,5,positif
puas sama gamis nya sesuai,4,positif
mantaaaabb bangeet bajuny aku suka bahanypun kereenn tmks lazada smoga tetap amanah,5,positif
bagus n okee deeh,5,positif
muas sekali,5,positif
syukaaaaaaa,5,positif
besar,2,negatif
x order slalu puas pngiriman jg cepat klw ad diskon info yae mksih seller makasih lazada,5,positif
realfict kurir ramah,5,positif
alhamdulilah baju nya buagus gk nyesel belanja d sini tanks kk,5,positif
bagus sekali puasa baju nya,5,positif
aku suka baju nya tp sayang bercak hitam baju nya kaya luntur plat hitam yg bagi tangan nya abang kurir nya suami sendri,5,positif
mksih brng pketny dh datang kecewa jga sya psen warna dusty eh dtang warna milo mna pngrimanny lama mksih buat kurirny low konfirmasi dlu low gkda wrna yg d psenn,5,positif
paket da d terima kecewa jaitan rapi benang panjang d potong bahan panas murah,5,positif
bintanya sya kurang karna aga kcewa baju noda hitam d cuci karna minyak nya sprti dri bkas msein,4,positif
kirim lama bangett baju gede banget muat bb n,3,netral
warna ny beda jauh bgt sma yg gambar,3,netral
,5,positif
barang,5,positif
bgusss,5,positif
bagus,5,positif
alhamdulillah barang nya bagus,5,positif
bagus,5,positif
,5,positif
good,5,positif
mantul,5,positif
okeeee,5,positif
bgs,5,positif
realpich,5,positif
bagus,5,positif
syuka tpi psen warna mika semu yg dtg warna,5,positif
pesan wrna army knp yg dtng warna pink,5,positif
tipis banget bahan nya kirain tbal,3,netral
bintang yg bicara,3,netral
brang nya udah nyampe terima kasih kirim nya sangat lama bngtt la,3,netral
alhamdulillah brang sesuai pesan mksh lazada,5,positif
bahan baguss,5,positif
bagus banget bju nyh,5,positif
brang dah nyampe sya kecewa brangnya kurang bagus,3,netral
baju gede banget jadi gak pake kecilin dulu,5,positif
kurang muas,5,positif
baju bagus cuman rempel nya gak lihat cuma sedikit,3,netral
bju ga sesuai poto bhan panaas,2,negatif
bagus proses cepat kurir baik,3,netral
sangat kecewa udah kain panas kalu dipakek gak sesuai dg harga,5,positif
besar panjang,3,netral
barang sesuay sama sabek kali perhati,1,negatif
kecewa bangettt,1,negatif
gak sesuai apa yg pesan kecewa,5,positif
bagus,5,positif
,5,positif
bgus,5,positif
bagus,5,positif
besar,5,positif
