review,rating,sentimen
terima kasih lazada realpict,5,positif
paket saya sudah sampai realpict cocok dengan harga,5,positif
terima kasih lazada barang bagus sesuai pesan proses cepat kurir ramah,5,positif
kurir ramah barang bagus sesuai pesan,5,positif
saya psen nya milo kok yang datang dusty tapi enggak apa lah baju nya bagus,5,positif
sesuai pesan,5,positif
mantap,5,positif
paket datang puas ukur nya pas,5,positif
bagus sesuai sama harga bahan ok,5,positif
baju bagus sekali,5,positif
realpict saya suka mkasih lazada,5,positif
bagus banget sayang aku enggak bisa unggah foto kenapa ya tiap ngsh ulas enggak bisa kasih foto,5,positif
sudah belanja yang ke mantaapp enggak kecewa,5,positif
kecewa bahan tipis,2,negatif
kecewa bahanx tipis sekali,2,negatif
,5,positif
puas sama gamis nya sesuai,4,positif
mantaaaabb banget bajuny aku suka bahanypun keren tmks lazada moga tetap amanah,5,positif
bagus okee deh,5,positif
muas sekali,5,positif
syukaaaaaaa,5,positif
besar,2,negatif
sudah order selalu puas pngiriman juga cepat kalau ada diskon info yae terima kasih seller terima kasih lazada,5,positif
realfict kurir ramah,5,positif
alhamdulilah baju nya buagus enggak sesal belanja sini tanks ya kakak,5,positif
bagus sekali saya puasa dengan baju nya,5,positif
aku suka baju nya tapi sayang ada bercak hitam di baju nya kayak luntur plat hitam yang bagi tangan nya abang kurir nya suami sendiri,5,positif
terima kasih brng pketny deh datang kecewa juga ya saya psen warna dusty eh dtang warna milo mana pngrimanny lama terima kasih buat kurirny low bisa konfirmasi dulu low gkda wrna yang psenn,5,positif
paket sudah terima tapi kecewa jaitan tidak rapi benang panjang tidak potong dan bahan panas murah,5,positif
bintanya saya kurang ya karena aga kecewa baju ada noda hitam tidak bisa cuci karena ada minyak nya seperti dari bkas msein,4,positif
kirim lama banget baju gede banget muat bb,3,negatif
warna nya beda jauh banget sama yang di gambar,3,negatif
ok,5,positif
barang ok,5,positif
bgusss,5,positif
bagus,5,positif
alhamdulillah barang nya bagus,5,positif
bagus,5,positif
,5,positif
good,5,positif
mantul,5,positif
okeeee,5,positif
bagus,5,positif
realpich,5,positif
bagus,5,positif
syuka tapi psen warna mika semu yang datang warna,5,positif
saya pesan wrna army kenapa yang dtng warna pink,5,positif
tipis banget bahan nya ira agak tbal,3,negatif
bintang yang bicara,3,negatif
brang nya sudah sampai terima kasih kirim nya sangat lama banget lah,3,negatif
alhamdulillah brang sesuai pesan terima kasih lazada,5,positif
bahan bagus,5,positif
bagus banget baju nyh,5,positif
brang deh sampai saya kecewa barang kurang bagus,3,negatif
baju gede banget jadi enggak bisa di pakai harus di kecilin dulu,5,positif
kurang muas,5,positif
baju bagus cuman rempel nya enggak lihat cuma sedikit,3,negatif
baju enggak sesuai poto bhan panaas,2,negatif
bagus proses cepat kurir baik,3,negatif
saya sangat kecewa sudah kain panas kalau dipakek enggak sesuai dengan harga,5,positif
besar panjang,3,negatif
barang tidak sesuay sama sabek lain kali di perhati,1,negatif
kecewa banget,1,negatif
enggak sesuai apa yang di pesan kecewa,5,positif
bagus,5,positif
,5,positif
bagus,5,positif
bagus,5,positif
besar,5,positif
